danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
0.711;0.586;-9.78;0.0514;0.435;6.48e-06;0.15;0.931;124.058;148507
0.39;0.302;-8.687;0.0321;0.984;0.0;0.0871;0.422;82.52;186973
0.427;0.458;-12.863;0.0407;0.289;0.00107;0.239;0.423;129.303;149240
0.442;0.528;-9.269;0.0562;0.565;0.029;0.0944;0.233;132.932;311537
0.758;0.337;-9.776;0.0494;0.71;1.94e-05;0.165;0.368;93.01;239835
0.72;0.558;-7.561;0.0417;0.318;0.00375;0.156;0.357;88.299;212391
0.622;0.166;-13.555;0.0456;0.962;0.000255;0.0911;0.145;95.784;157949
0.274;0.348;-8.631;0.0293;0.547;0.0133;0.334;0.328;87.43;179693
0.535;0.306;-15.409;0.0735;0.963;0.0938;0.132;0.578;98.975;238880
0.784;0.381;-11.446;0.0739;0.394;0.0158;0.268;0.185;122.026;357357
0.552;0.608;-9.786;0.0345;0.352;0.0;0.0533;0.637;112.367;162373
0.637;0.509;-7.985;0.38;0.574;0.0;0.154;0.461;94.202;187933
0.691;0.67;-4.471;0.0644;0.258;0.764;0.117;0.22;170.066;226168
0.469;0.256;-13.662;0.207;0.97;0.000172;0.0707;0.392;88.745;104349
0.57;0.652;-5.714;0.375;0.692;0.0;0.114;0.306;82.294;198635
0.71;0.496;-9.079;0.0426;0.644;0.0;0.138;0.535;129.998;243173
0.644;0.107;-16.936;0.0617;0.531;0.795;0.296;0.684;126.565;208588
0.396;0.496;-11.728;0.0356;0.833;0.00534;0.0996;0.679;165.647;256653
0.559;0.307;-10.974;0.0905;0.866;0.0;0.118;0.46;96.843;194907
0.668;0.605;-7.608;0.0454;0.336;0.000206;0.115;0.877;83.002;245995
0.507;0.297;-8.539;0.0595;0.924;0.0;0.151;0.551;95.092;182053
0.834;0.689;-6.982;0.0337;0.0819;0.00743;0.0931;0.724;127.999;384627
0.545;0.67;-8.81;0.0496;0.009;0.000822;0.0451;0.481;151.553;270213
0.399;0.0969;-12.578;0.0509;0.929;0.000168;0.121;0.0758;109.54;177922
0.511;0.593;-6.129;0.0505;0.66;5.98e-06;0.0877;0.447;126.576;196347
0.752;0.35;-11.352;0.0456;0.904;0.0362;0.0621;0.55;87.993;218864
0.488;0.0374;-22.637;0.0403;0.947;0.000191;0.147;0.259;87.275;206067
0.775;0.522;-10.091;0.0773;0.852;0.00286;0.424;0.364;127.797;148014
0.539;0.481;-10.742;0.148;0.195;0.0616;0.103;0.443;178.091;206352
0.849;0.361;-10.057;0.0641;0.692;0.00673;0.14;0.553;137.539;214160
0.629;0.572;-9.332;0.0307;0.32;0.000853;0.109;0.182;93.997;188960
0.729;0.461;-6.412;0.349;0.476;0.00453;0.149;0.485;82.188;188186
0.517;0.458;-11.095;0.348;0.956;0.131;0.121;0.49;185.081;156082
0.617;0.119;-16.968;0.321;0.863;0.0;0.119;0.592;102.649;122000
0.713;0.235;-13.42;0.0856;0.899;1.98e-06;0.186;0.366;114.893;144963
0.375;0.378;-12.547;0.158;0.85;0.0464;0.12;0.0996;82.631;162363
0.58;0.338;-8.963;0.0327;0.929;0.858;0.1;0.207;69.954;212571
0.761;0.359;-12.326;0.0703;0.957;0.000143;0.147;0.505;103.069;238835
0.519;0.256;-11.056;0.0802;0.659;0.181;0.122;0.309;79.968;200250
0.55;0.218;-13.886;0.038;0.896;0.0128;0.111;0.344;79.586;150158
0.439;0.303;-10.839;0.0422;0.839;0.0;0.071;0.268;139.475;170787
0.611;0.428;-10.723;0.0474;0.834;0.00517;0.113;0.389;133.281;168627
0.734;0.731;-5.24;0.0473;0.0784;0.0;0.108;0.705;96.071;221307
0.62;0.199;-13.788;0.0344;0.976;0.00178;0.107;0.179;129.01;218160
0.549;0.313;-11.525;0.0322;0.759;0.108;0.0875;0.216;113.962;292625
0.27;0.215;-18.371;0.0376;0.953;0.948;0.11;0.0502;100.517;374973
0.192;0.359;-10.572;0.0287;0.735;0.959;0.28;0.277;144.565;78000
0.332;0.134;-15.857;0.0393;0.85;0.0126;0.109;0.146;87.147;215867
0.592;0.214;-13.468;0.115;0.936;1.62e-05;0.253;0.422;81.672;117037
0.808;0.589;-6.808;0.0412;0.247;1.84e-05;0.152;0.861;119.977;144000
0.813;0.42;-7.118;0.113;0.112;1.63e-06;0.171;0.401;94.02;185601
0.458;0.301;-11.959;0.0796;0.685;9.39e-05;0.0995;0.178;68.526;360600
0.402;0.369;-9.166;0.0851;0.134;0.000194;0.111;0.212;174.376;252253
0.78;0.591;-7.764;0.09;0.807;0.0;0.23;0.771;126.803;166280
0.709;0.828;-5.495;0.0366;0.0938;6.59e-05;0.11;0.671;112.027;280987
0.685;0.872;-4.945;0.465;0.489;0.0;0.841;0.724;110.044;226909
0.64;0.74;-4.083;0.0284;0.0115;0.00678;0.167;0.785;116.879;216320
0.556;0.329;-15.133;0.294;0.152;0.113;0.123;0.39;79.999;210274
0.642;0.396;-16.843;0.0642;0.462;0.000823;0.106;0.797;84.082;286493
0.538;0.677;-6.099;0.187;0.00541;0.0;0.236;0.913;132.346;214200
0.512;0.602;-10.217;0.0374;0.621;0.000172;0.0742;0.563;112.901;191560
0.383;0.417;-12.155;0.0316;0.83;0.00154;0.2;0.584;109.319;229573
0.642;0.594;-8.422;0.0798;0.804;0.000348;0.22;0.297;67.503;269000
0.618;0.167;-17.318;0.079;0.885;5.91e-06;0.1;0.425;72.435;242116
0.677;0.506;-7.374;0.0798;0.845;0.0;0.111;0.225;80.032;162000
0.675;0.376;-7.739;0.0642;0.825;0.0;0.105;0.592;83.967;187947
0.594;0.571;-8.974;0.119;0.705;0.0;0.134;0.817;91.449;201600
0.84;0.936;-5.842;0.104;0.0145;9.68e-05;0.331;0.974;100.002;233307
0.749;0.41;-12.421;0.13;0.8;0.00611;0.109;0.419;92.015;240125
0.726;0.295;-14.504;0.219;0.696;0.000356;0.172;0.138;115.067;178356
0.442;0.345;-12.269;0.277;0.866;0.0366;0.251;0.343;82.824;305760
0.87;0.666;-9.939;0.0872;0.567;0.303;0.106;0.847;118.012;150671
0.372;0.0542;-18.745;0.0438;0.967;1.53e-05;0.0738;0.171;72.929;396973
0.71;0.391;-11.905;0.0471;0.995;0.919;0.283;0.83;100.835;158724
0.393;0.337;-12.143;0.0677;0.868;0.067;0.0988;0.193;79.824;266213
0.657;0.737;-8.019;0.0496;0.183;7.75e-06;0.339;0.799;132.16;339410
0.551;0.144;-13.883;0.0392;0.515;0.0;0.187;0.648;128.122;194307
0.181;0.241;-11.626;0.0309;0.9;2.21e-06;0.0808;0.127;84.693;266973
0.259;0.473;-8.275;0.0295;0.592;0.0;0.201;0.539;90.348;157867
0.573;0.602;-5.643;0.0357;0.385;0.0;0.0912;0.684;90.692;198240
0.5;0.391;-6.451;0.0335;0.743;0.0;0.0847;0.539;139.972;139507
0.507;0.362;-12.331;0.0298;0.723;2.86e-05;0.287;0.362;133.61;187867
0.377;0.337;-7.346;0.0341;0.808;0.0;0.238;0.545;117.316;245187
0.278;0.433;-11.554;0.0466;0.3;0.000254;0.111;0.379;169.417;247240
0.815;0.372;-7.636;0.215;0.717;0.0;0.0588;0.855;92.747;205683
0.701;0.418;-9.135;0.0368;0.421;1.06e-06;0.725;0.648;109.781;364253
0.411;0.355;-7.108;0.0291;0.921;3.8e-05;0.111;0.16;101.46;232211
0.473;0.455;-8.774;0.0339;0.201;0.15;0.142;0.33;82.717;268973
0.745;0.219;-11.216;0.0276;0.851;1.8e-05;0.0678;0.635;88.609;186251
0.782;0.684;-7.398;0.0759;0.457;0.112;0.437;0.0925;101.999;270882
0.693;0.918;-8.307;0.088;0.323;0.558;0.392;0.757;176.15;207401
0.394;0.151;-16.748;0.0359;0.976;0.739;0.0664;0.31;178.051;160240
0.244;0.415;-6.589;0.03;0.39;0.00871;0.188;0.0699;184.318;341000
0.471;0.352;-9.699;0.0391;0.633;2.75e-05;0.115;0.102;118.333;282329
0.569;0.314;-8.241;0.0579;0.845;2.03e-05;0.12;0.311;179.332;249560
0.286;0.0847;-9.883;0.0397;0.934;6.94e-06;0.121;0.112;70.743;255987
0.638;0.395;-11.299;0.1;0.724;0.569;0.0761;0.316;78.516;344347
0.714;0.722;-5.837;0.0936;0.164;2.38e-06;0.175;0.628;92.017;249493
0.734;0.776;-4.193;0.0826;0.0406;0.193;0.0547;0.843;78.542;269173
0.788;0.258;-11.758;0.104;0.171;0.00721;0.326;0.335;127.492;356493
0.848;0.542;-7.164;0.0539;0.155;7.99e-05;0.0767;0.538;132.038;232773
0.618;0.52;-9.232;0.367;0.719;0.0117;0.146;0.698;144.922;147791
0.761;0.197;-9.166;0.0487;0.906;0.0;0.173;0.124;91.952;260333
0.828;0.325;-12.085;0.0913;0.924;0.0;0.104;0.752;125.922;248467
0.224;0.146;-16.331;0.0338;0.961;0.712;0.113;0.142;94.255;130693
0.678;0.284;-13.395;0.0365;0.909;0.0234;0.117;0.612;130.92;244632
0.751;0.476;-7.807;0.303;0.764;0.0;0.418;0.394;71.019;187125
0.812;0.663;-10.283;0.0636;0.353;0.000236;0.0855;0.707;140.006;170125
0.568;0.597;-9.631;0.0405;0.801;0.17;0.309;0.197;105.415;273059
0.52;0.0975;-12.513;0.0456;0.946;0.0;0.111;0.319;74.947;125740
0.607;0.548;-3.453;0.0258;0.471;0.0;0.195;0.827;150.189;130760
0.613;0.197;-16.88;0.0671;0.941;0.00186;0.129;0.515;90.468;185507
0.742;0.52;-8.884;0.0304;0.303;0.115;0.152;0.536;96.041;185452
0.38;0.0179;-22.85;0.033;0.982;0.000532;0.0699;0.0608;70.098;102857
0.497;0.351;-9.048;0.0648;0.777;0.0;0.157;0.234;171.719;184242
0.483;0.129;-20.149;0.0349;0.947;0.145;0.106;0.203;137.35;161929
0.504;0.286;-14.197;0.0466;0.707;2.55e-06;0.112;0.593;97.916;140707
0.499;0.0772;-19.147;0.0363;0.97;0.91;0.0933;0.184;65.147;322667
0.66;0.688;-6.34;0.0564;0.434;0.0;0.489;0.65;118.05;249407
0.742;0.384;-8.533;0.043;0.872;0.00305;0.132;0.354;69.006;91505
0.663;0.12;-13.662;0.0344;0.925;0.88;0.115;0.19;80.041;162000
0.486;0.819;-8.357;0.0966;0.0428;0.695;0.11;0.0719;127.979;356267
0.76;0.964;-5.844;0.0577;0.00181;0.703;0.0975;0.643;125.003;248036
0.854;0.93;-7.528;0.0439;0.563;0.697;0.0815;0.192;123.998;480000
0.941;0.556;-7.894;0.106;0.074;0.738;0.0632;0.641;123.006;375000
0.579;0.596;-10.767;0.256;0.00543;0.962;0.273;0.0537;124.005;201290
0.771;0.731;-6.577;0.0407;0.00155;0.681;0.217;0.629;123.026;189268
0.886;0.521;-10.47;0.11;0.0409;0.245;0.0789;0.244;124.013;340661
0.929;0.573;-6.934;0.0511;0.0173;0.00347;0.122;0.305;128.037;237231
0.606;0.448;-13.182;0.0356;0.604;0.0825;0.111;0.199;111.889;274729
0.746;0.613;-10.34;0.0458;0.0071;0.634;0.1;0.614;125.019;192000
0.578;0.734;-13.68;0.0377;0.411;0.899;0.101;0.0821;129.988;369800
0.486;0.819;-8.357;0.0966;0.0428;0.695;0.11;0.0719;127.979;356267
0.76;0.964;-5.844;0.0577;0.00181;0.703;0.0975;0.643;125.003;248036
0.854;0.93;-7.528;0.0439;0.563;0.697;0.0815;0.192;123.998;480000
0.941;0.556;-7.894;0.106;0.074;0.738;0.0632;0.641;123.006;375000
0.579;0.596;-10.767;0.256;0.00543;0.962;0.273;0.0537;124.005;201290
0.771;0.731;-6.577;0.0407;0.00155;0.681;0.217;0.629;123.026;189268
0.886;0.521;-10.47;0.11;0.0409;0.245;0.0789;0.244;124.013;340661
0.929;0.573;-6.934;0.0511;0.0173;0.00347;0.122;0.305;128.037;237231
0.606;0.448;-13.182;0.0356;0.604;0.0825;0.111;0.199;111.889;274729
0.746;0.613;-10.34;0.0458;0.0071;0.634;0.1;0.614;125.019;192000
0.578;0.734;-13.68;0.0377;0.411;0.899;0.101;0.0821;129.988;369800
0.792;0.775;-4.575;0.0532;0.271;1.55e-05;0.406;0.521;111.957;195678
0.673;0.683;-5.693;0.115;0.522;0.0;0.235;0.713;171.86;232000
0.681;0.586;-8.324;0.058;0.169;0.0;0.0924;0.604;94.539;249093
0.797;0.567;-7.503;0.0651;0.0692;0.0;0.0705;0.843;108.024;188889
0.452;0.574;-8.336;0.31;0.246;0.0;0.189;0.58;92.791;207187
0.762;0.661;-6.075;0.0687;0.15;0.0;0.256;0.769;130.009;225373
0.706;0.751;-6.323;0.0708;0.173;0.0;0.168;0.195;91.031;182307
0.748;0.524;-5.599;0.0338;0.414;0.0;0.111;0.661;95.01;244960
0.758;0.712;-3.781;0.112;0.0185;0.0;0.0677;0.795;149.998;193387
0.788;0.593;-6.973;0.0422;0.033;0.00825;0.107;0.682;103.004;212365
0.634;0.783;-6.649;0.0709;0.0314;4.98e-06;0.124;0.322;135.003;252875
0.794;0.603;-11.116;0.0724;0.182;0.0635;0.109;0.0353;107.992;249896
0.756;0.609;-7.927;0.0544;0.217;0.00482;0.0959;0.537;117.024;155720
0.682;0.755;-5.878;0.0636;0.467;0.0;0.0981;0.96;94.045;247317
0.639;0.744;-6.666;0.0446;0.0897;0.0;0.0728;0.122;114.151;140000
0.679;0.702;-4.539;0.172;0.0883;0.0;0.113;0.446;81.992;212093
0.551;0.648;-13.088;0.0627;0.043;0.655;0.41;0.807;109.209;159013
0.631;0.786;-5.267;0.0353;0.00716;0.0;0.12;0.761;102.027;226335
0.776;0.357;-11.651;0.0376;0.936;0.342;0.0645;0.385;121.991;209309
0.64;0.336;-4.115;0.0453;0.928;0.0;0.115;0.0568;126.695;235039
0.64;0.71;-8.443;0.0299;0.0247;0.873;0.0817;0.0355;125.001;526080
0.733;0.469;-7.001;0.0466;0.463;1.68e-05;0.0635;0.832;132.074;198295
0.8;0.775;-3.363;0.068;0.336;0.0;0.271;0.945;125.992;210559
0.668;0.921;-3.727;0.0439;0.0492;0.00517;0.0877;0.782;120.0;212440
0.64;0.336;-4.115;0.0453;0.928;0.0;0.115;0.0568;126.695;235039
0.588;0.789;-3.831;0.0689;0.00524;4.04e-06;0.737;0.3;126.007;217188
0.566;0.587;-5.96;0.0308;0.0155;2.05e-05;0.111;0.246;82.046;283538
0.635;0.679;-7.374;0.0861;0.0375;0.0;0.0954;0.239;117.867;182901
0.479;0.634;-6.092;0.0697;0.397;0.00899;0.599;0.122;180.173;196010
0.516;0.542;-6.408;0.103;0.475;0.0;0.0877;0.406;150.065;209952
0.837;0.793;-5.048;0.0567;0.0261;9.04e-05;0.0743;0.87;124.988;151011
0.763;0.52;-8.53;0.0974;0.151;0.0134;0.0974;0.521;105.02;202587
0.803;0.682;-3.459;0.037;0.0516;0.000223;0.0456;0.926;106.431;318987
0.591;0.701;-5.879;0.0292;0.276;0.000103;0.0882;0.509;146.039;315603
0.591;0.701;-5.879;0.0292;0.276;0.000103;0.0882;0.509;146.039;315603
0.714;0.787;-7.264;0.0642;0.00607;0.474;0.12;0.633;119.97;378988
0.9;0.316;-8.797;0.332;0.684;0.0771;0.0853;0.844;129.914;107077
0.816;0.781;-4.237;0.0425;0.692;0.00928;0.0835;0.937;99.95;185899
0.728;0.617;-4.677;0.0431;0.454;0.0;0.104;0.251;125.987;201641
0.691;0.856;-5.614;0.0407;0.0614;0.119;0.034;0.414;136.98;213340
0.488;0.62;-7.399;0.123;0.0895;3.03e-05;0.122;0.378;111.996;221736
0.884;0.546;-6.279;0.117;0.269;8e-06;0.064;0.49;113.236;162895
0.818;0.653;-6.958;0.115;0.38;0.461;0.11;0.728;104.003;187280
0.683;0.857;-7.492;0.0448;0.088;0.0108;0.0754;0.465;109.99;347613
0.82;0.706;-8.047;0.228;0.219;0.0;0.1;0.65;82.99;163133
0.856;0.511;-10.413;0.0365;0.386;0.0334;0.0985;0.942;114.985;327399
0.616;0.557;-8.698;0.286;0.693;0.0;0.16;0.425;119.846;154671
0.86;0.517;-8.168;0.0953;0.0075;0.00205;0.0331;0.589;115.021;325433
0.779;0.937;-6.269;0.0496;0.0443;0.101;0.0912;0.49;125.025;185000
0.841;0.813;-6.291;0.0986;0.0358;0.676;0.0495;0.452;123.999;194758
0.734;0.848;-5.285;0.0309;0.00312;1.16e-05;0.313;0.863;117.31;230013
0.663;0.551;-8.272;0.109;0.236;3.57e-05;0.0923;0.601;113.314;193414
0.781;0.628;-5.765;0.0689;0.0923;0.00146;0.227;0.362;122.024;271493
0.687;0.684;-6.72;0.178;0.218;3.32e-05;0.118;0.377;105.075;317404
0.896;0.586;-6.687;0.0559;0.104;0.0;0.79;0.642;116.971;196653
0.884;0.333;-9.753;0.0617;0.293;0.0205;0.103;0.587;118.065;209450
0.926;0.951;-5.531;0.0924;0.00232;0.452;0.313;0.918;123.987;206588
0.548;0.805;-5.732;0.351;0.212;0.000389;0.408;0.648;142.094;216387
0.414;0.404;-9.928;0.0499;0.271;0.0;0.3;0.224;71.105;354320
0.39;0.625;-7.813;0.0537;0.36;0.0;0.0663;0.514;144.338;134387
0.642;0.766;-6.82;0.0401;0.0407;0.000103;0.0593;0.593;134.185;504333
0.747;0.839;-4.141;0.0379;0.00498;5.27e-05;0.088;0.848;119.993;246400
0.919;0.544;-4.765;0.0829;0.113;0.00586;0.111;0.603;101.993;134609
0.719;0.484;-7.898;0.0944;0.751;0.0;0.0776;0.438;79.995;281413
0.632;0.714;-13.228;0.0411;0.0456;0.651;0.132;0.0641;99.988;308742
0.611;0.394;-10.757;0.0416;0.534;4.68e-05;0.108;0.202;123.941;256267
0.808;0.538;-10.211;0.0608;0.108;0.0743;0.0555;0.416;108.026;173750
0.767;0.385;-9.318;0.0372;0.647;0.043;0.1;0.311;107.999;260391
0.84;0.763;-5.434;0.0311;0.238;0.00816;0.417;0.911;113.979;205263
0.814;0.894;-9.225;0.0779;0.0213;6.94e-05;0.294;0.968;100.0;222920
0.607;0.583;-8.928;0.0321;0.0774;0.849;0.116;0.166;125.005;230090
0.714;0.684;-7.434;0.21;0.154;0.0;0.0759;0.422;111.038;169049
0.801;0.641;-8.584;0.0455;0.0667;0.0244;0.172;0.701;124.979;195210
0.735;0.483;-9.437;0.0775;0.326;0.000189;0.135;0.184;117.019;156298
0.762;0.664;-8.086;0.0854;0.22;0.898;0.119;0.678;99.995;186809
0.716;0.574;-10.276;0.0334;0.532;0.0493;0.125;0.358;142.051;278227
0.718;0.305;-16.455;0.0584;0.89;0.000821;0.1;0.0507;119.904;164631
0.665;0.549;-11.388;0.0458;0.0917;0.557;0.0583;0.217;91.036;270720
0.681;0.316;-13.132;0.0366;0.177;0.851;0.114;0.254;92.716;194243
0.707;0.451;-8.815;0.0414;0.62;0.046;0.207;0.406;84.98;232160
0.721;0.722;-6.75;0.0342;0.283;6.71e-05;0.159;0.335;119.933;147500
0.761;0.436;-11.614;0.0424;0.454;0.264;0.111;0.374;114.01;170868
0.674;0.519;-8.617;0.0554;0.109;0.148;0.115;0.0479;114.987;240010
0.716;0.571;-8.077;0.0259;0.359;0.313;0.649;0.723;92.967;214191
0.673;0.55;-8.514;0.122;0.407;0.0181;0.156;0.392;102.03;164706
0.819;0.61;-8.376;0.366;0.207;1.13e-05;0.353;0.306;110.046;179114
0.793;0.491;-11.086;0.0449;0.48;0.00522;0.0997;0.322;110.018;198545
0.585;0.554;-11.666;0.0406;0.292;0.939;0.0847;0.123;104.021;228163
0.633;0.328;-9.035;0.0285;0.526;4.01e-05;0.113;0.235;108.006;182153
0.595;0.717;-7.481;0.112;0.111;0.00968;0.102;0.284;113.048;169814
0.729;0.476;-10.448;0.0514;0.322;0.313;0.11;0.325;87.978;130909
0.825;0.273;-13.625;0.365;0.085;0.92;0.0974;0.348;85.046;243447
